iter	Passed	Remaining
311	4084	9006
312	4098	8996
313	4109	8979
314	4124	8968
315	4138	8957
316	4150	8942
317	4162	8927
318	4173	8910
319	4187	8897
320	4200	8886
321	4213	8872
322	4228	8862
323	4240	8847
324	4253	8834
325	4267	8823
326	4279	8807
327	4289	8789
328	4305	8780
329	4314	8760
330	4330	8751
331	4342	8736
332	4355	8723
333	4368	8711
334	4380	8694
335	4390	8677
336	4404	8665
337	4416	8649
338	4431	8639
339	4444	8626
340	4459	8617
341	4474	8609
342	4487	8596
343	4501	8584
344	4516	8574
345	4536	8574
346	4545	8553
347	4557	8538
348	4573	8530
349	4586	8517
350	4604	8513
351	4617	8499
352	4627	8482
353	4640	8468
354	4653	8455
355	4669	8447
356	4681	8432
357	4692	8415
358	4710	8409
359	4722	8395
360	4734	8380
361	4747	8367
362	4762	8358
363	4774	8342
364	4785	8325
365	4797	8309
366	4809	8294
367	4825	8287
368	4841	8278
369	4856	8268
370	4870	8257
371	4883	8244
372	4896	8231
373	4911	8221
374	4925	8209
375	4937	8194
376	4953	8185
377	4971	8179
378	4983	8164
379	4995	8150
380	5007	8135
381	5022	8125
382	5035	8111
383	5048	8099
384	5063	8087
385	5079	8080
386	5095	8070
387	5109	8060
388	5123	8047
389	5136	8033
390	5150	8021
391	5161	8005
392	5174	7992
393	5188	7979
394	5200	7965
395	5216	7956
396	5227	7939
397	5238	7923
398	5254	7914
399	5269	7903
400	5286	7897
401	5300	7885
402	5316	7876
403	5328	7860
404	5338	7842
405	5354	7833
406	5366	7818
407	5376	7800
